City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,saint-philippe,-21.3585,55.7679,294.92,82,36,4.17,Saint-Philippe,1686078055
138,georgetown,5.4112,100.3354,300.38,83,20,2.57,George Town,1686077927
139,sao jose da coroa grande,-8.8978,-35.1478,299.65,80,53,2.29,São José da Coroa Grande,1686078055
140,mumbwa,-14.9783,27.0619,290.51,35,0,2.19,Mumbwa,1686078055
141,nuevo ideal,24.8875,-105.0728,300.9,22,1,3.73,Nuevo Ideal,1686078056
142,revda,56.801,59.9303,284.74,96,100,4.19,Revda,1686078056
143,cromwell,41.5951,-72.6454,296.32,46,20,3.6,Cromwell,1686078056
144,avarua,-21.2078,-159.775,296.18,73,75,1.54,Avarua,1686078056
145,ambon,-3.6954,128.1814,301.41,77,40,2.06,Ambon City,1686078056
146,papao,-17.75,-149.55,299.97,73,99,6.49,Papao,1686078057
147,fisterra,42.9049,-9.2629,298.01,75,100,0.94,Finisterra,1686078057
148,port lincoln,-34.7333,135.8667,289.76,80,13,4.18,Port Lincoln,1686078057
149,nueva palestina,15.8,-92.75,304.71,46,24,1.49,Nueva Palestina,1686078057
150,alofi,-19.0595,-169.9187,298.23,74,98,9.58,Alofi,1686078057
151,cidreira,-30.1811,-50.2056,292.4,73,1,5.42,Cidreira,1686078058
152,altai,46.3722,96.2583,286.27,43,1,2.36,Altai,1686078058
153,tual,-5.6667,132.75,300.36,83,100,5.2,Tual,1686078058
154,katiola,8.1333,-5.1,298.4,82,100,1.62,Katiola,1686078058
155,east london,-33.0153,27.9116,290.56,39,0,2.42,East London,1686078013
156,magadan,59.5667,150.8,280.65,73,76,1.28,Magadan,1686077790
157,kroya,-7.6331,109.2461,298.06,89,92,4.33,Kroya,1686078059
158,eydhafushi,5.1033,73.0708,301.87,80,100,6.49,Eydhafushi,1686078059
159,ain sefra,32.75,-0.5833,298.31,34,100,3.1,Aïn Sefra,1686078059
160,enewetak,11.3474,162.3373,300.98,81,84,6.45,Enewetak,1686078059
161,ancud,-41.8697,-73.8203,283.74,75,18,3.05,Ancud,1686078059
162,leeton,-34.5667,146.4,285.42,90,69,4.73,Leeton,1686078060
163,fada n'gourma,12.0622,0.3578,305.89,42,87,7.91,Fada N'gourma,1686078060
164,luderitz,-26.6481,15.1594,285.7,87,0,5.35,Lüderitz,1686078022
165,qaqortoq,60.7167,-46.0333,276.09,89,100,0.46,Qaqortoq,1686078060
166,mariental,-24.6333,17.9667,291.16,8,0,5.34,Mariental,1686078005
167,anisoc,1.8658,10.7689,295.15,99,100,1.29,Añisoc,1686078060
168,kolokani,13.5728,-8.0339,311.62,18,100,2.17,Kolokani,1686078060
169,lib,8.3122,167.3766,301.18,78,100,6.54,Lib,1686078061
170,lompoc,34.6391,-120.4579,292.47,75,100,5.36,Lompoc,1686078061
171,muroto-misakicho,33.2833,134.15,293.37,83,57,3.33,Muroto-misakicho,1686078061
172,aasiaat,68.7098,-52.8699,272.64,86,100,2.48,Aasiaat,1686077998
173,urzhar,47.093,81.6294,295.51,29,61,2.17,Urzhar,1686078062
174,fort bragg,35.139,-79.006,303.61,55,75,3.6,Fort Bragg,1686078062
175,myitkyina,25.3833,97.4,298.19,84,34,0.71,Myitkyina,1686078062
176,polyarnyy,69.1989,33.4478,277.38,69,100,7.08,Polyarny,1686078062
